year,family_ID,sex_person1,sex_person2,sex_person3,sex_person4,race_person1,race_person2,race_person3,race_person4,income_person1,income_person2,income_person3,income_person4
2021,206,2,,,,white,,,,0,,,
2021,574,2,,,,white,,,,17000,,,
2021,619,2,,,,black,,,,6000,,,
2021,798,2,,,,other,,,,0,,,
2021,803,2,,,,black,,,,0,,,
2021,2488,1,,,,white,,,,5500,,,
2021,2506,2,,,,white,,,,1800,,,
2021,2563,2,,,,black,,,,1200,,,
2021,2979,2,1,1,1,white,white,white,white,12400,24000,,
2021,3206,2,2,2,,black,black,black,,12000,9500,16800,
2021,3281,1,2,,,asian,black,,,45800,18200,,
2021,3438,2,1,,,white,white,,,26400,52000,,
2021,3451,2,1,2,,black,black,black,,31000,6000,,
2021,3601,2,1,2,2,white,other,white,white,0,80000,9000,
2021,3633,2,1,,,black,black,,,35200,34000,,
2021,4260,2,1,,,white,white,,,14900,4300,,
2021,4451,2,,,,black,,,,26000,,,
2021,4920,2,1,,,black,black,,,16200,7200,,
2021,5067,2,1,,,white,white,,,81000,28500,,
2021,5316,1,2,,,white,white,,,22600,11310,,
2021,5469,2,1,,,white,white,,,14700,97000,,
2021,5728,1,,,,black,,,,13000,,,
2021,5780,2,2,1,,white,white,white,,12600,50000,60000,
2021,5786,2,1,,,white,white,,,5800,54000,,
2021,5920,2,1,1,,white,white,other,,18000,92000,14000,
2021,6512,1,2,2,1,white,white,white,white,1e+05,0,700,4600
2021,6537,1,2,,,white,white,,,39700,9600,,
2021,6680,1,2,1,2,white,white,white,white,107000,52000,0,
2021,6806,2,2,1,1,white,white,white,white,71000,15500,0,
2021,7090,1,2,,,white,white,,,16000,3600,,
2021,7142,2,1,2,,black,black,black,,22000,60000,,
2021,7155,1,2,1,2,white,white,white,white,93000,0,,
2021,7241,1,1,1,,black,black,black,,48000,40000,0,
2021,7254,1,2,1,2,white,white,white,white,150000,0,,
2021,7290,2,1,1,,white,white,white,,9300,7200,,
2021,7558,1,1,1,,black,black,black,,32000,,25000,
2021,7730,1,2,1,2,white,white,white,white,50000,76000,25000,29000
2021,7741,2,1,,,white,white,,,34000,36000,,
2021,7819,1,1,,,white,white,,,32000,,,
2021,7855,1,2,,,white,white,,,36000,160000,,
2021,8526,1,2,,,black,black,,,26000,30000,,
2021,8750,2,1,1,,white,white,white,,18000,25000,,
2021,8835,1,2,,,white,white,,,70000,5300,,
2021,8964,1,,,,white,,,,200,,,
2021,9067,2,1,,,white,white,,,19200,11000,,
2021,9087,2,1,1,1,white,other,other,other,18800,35000,,
2021,9095,1,,,,white,,,,11000,,,
2021,9134,1,2,1,,black,black,black,,87000,35000,7000,
2021,9185,1,2,,,white,white,,,43800,6000,,
2021,9207,2,1,1,,white,white,white,,16300,77000,20000,
2021,9252,2,,,,white,,,,59000,,,
2021,9320,2,1,1,1,white,white,white,white,116000,80000,24000,3600
2021,9480,2,1,,,other,other,,,15900,39000,,
2021,9689,1,1,1,2,other,other,other,other,20800,51000,16000,30200
2021,10234,2,1,1,,white,white,white,,95000,105000,,
2021,10427,1,2,2,2,white,white,white,white,1e+05,0,,
2021,10531,1,2,2,2,white,white,white,white,80500,3500,,
2021,10690,1,,,,white,,,,42620,,,
2021,10734,1,2,2,1,white,white,white,white,55000,7500,,
2021,10855,2,1,2,1,white,white,white,white,0,94000,120400,0
2021,10902,1,2,1,2,white,white,white,white,1e+05,15000,50000,40000
2021,10979,2,1,1,1,white,asian,white,other,41000,15000,,
2021,11051,1,2,2,,white,white,white,,80000,80000,,
2021,11583,1,2,2,2,white,white,white,white,75000,12500,,0
2021,11588,1,2,1,,white,white,white,,60000,18000,35000,
2021,11627,2,1,1,2,white,white,white,white,0,55000,28600,
2021,11705,1,2,,,white,white,,,65700,23900,,
2021,11752,1,2,1,2,white,white,white,white,65000,2000,,
2021,11769,1,2,2,2,other,white,other,other,144000,24000,,
2021,12232,2,,,,white,,,,11700,,,
2021,12971,2,1,2,2,white,white,white,white,12000,36000,,
2021,13342,2,1,,,white,white,,,52000,88000,,
2021,13366,2,1,,,white,white,,,34000,50000,,
2021,13444,1,2,2,,black,black,black,,27600,16400,9400,
2021,13817,1,2,,,white,white,,,21600,8400,,
2021,13888,1,2,,,black,black,,,65000,9600,,
2021,14011,1,2,2,2,asian,asian,asian,asian,145000,88000,,
2021,14240,1,2,1,,white,other,other,,43600,33600,,
2021,14275,1,2,2,,black,black,black,,95000,0,,
2021,14433,2,1,2,1,white,white,white,white,0,1e+05,,
2021,14785,2,2,2,1,black,black,black,black,7400,56000,22600,
2021,14900,2,1,1,2,white,white,white,white,25500,34000,0,
2021,15104,2,1,1,,white,white,white,,9000,44000,,
2021,15130,1,,,,black,,,,40000,,,
2021,15319,1,2,1,,white,white,white,,75000,60000,60000,
2021,15351,1,1,,,white,white,,,30000,,,
2021,15695,2,1,,,white,white,,,26000,40000,,
2021,15783,2,,,,white,,,,11100,,,
2021,16059,2,1,1,1,white,white,white,white,21400,,,
2021,16348,1,2,,,other,white,,,143000,0,,
2021,16522,1,2,1,2,black,black,black,black,80000,414000,,
2021,16576,1,,,,black,,,,9600,,,
2021,16667,2,1,,,white,white,,,60000,,,
2021,16742,1,2,,,white,white,,,90000,35000,,
2021,16806,1,2,,,white,white,,,29600,9600,,
2021,16826,2,1,2,,white,white,white,,54000,50000,,
2021,16973,2,2,2,,black,black,black,,0,51700,20500,
2021,17047,2,2,1,,black,black,black,,14800,4700,0,
2021,17084,2,1,,,white,white,,,77400,28700,,
2021,17658,1,2,,,white,white,,,45000,33000,,
2021,17821,2,,,,white,,,,9920,,,
2021,17845,1,1,,,black,black,,,40000,0,,
2021,18082,1,2,,,white,white,,,75600,12800,,
2021,18200,2,1,1,2,white,white,white,white,143600,76300,,
2021,18434,1,2,,,white,native,,,171600,14000,,
2021,18660,2,1,1,2,white,white,white,white,2100,150000,,
2021,18701,1,2,,,white,white,,,57900,52400,,
2021,18745,2,2,2,1,black,black,black,black,1200,17200,0,
2021,18890,1,2,,,white,white,,,40600,18900,,
2021,18918,2,1,,,white,white,,,68000,74500,,
2021,19011,1,2,,,white,white,,,60000,27000,,
2021,19056,1,2,,,black,black,,,30000,40000,,
2021,19269,2,1,2,1,white,white,white,white,50020,83000,,
2021,19334,2,2,1,1,black,black,black,black,15000,0,,
2021,19660,1,2,2,,white,white,white,,63000,0,15000,
2021,19807,1,2,,,white,white,,,53000,30400,,
2021,19884,1,2,1,,white,white,white,,72000,0,18000,
2021,20023,2,1,2,1,white,white,white,white,40300,61000,0,16000
2021,20083,2,1,,,white,white,,,4000,6000,,
2021,20132,1,2,2,1,white,white,white,white,75000,0,,
2021,20522,2,1,,,black,black,,,117000,0,,
2021,20596,2,1,1,,white,white,white,,61000,22600,0,
2021,20696,2,1,1,2,black,black,black,black,72000,50000,,
2021,20801,1,2,,,other,native,,,25700,7700,,
2021,21027,2,1,2,1,white,white,white,white,8100,30800,4000,
2021,21178,2,1,,,black,black,,,47500,31400,,
2021,21237,1,2,2,1,white,white,white,white,89000,13200,0,1400
2021,21511,1,2,,,white,white,,,160000,0,,
2021,21584,2,,,,white,,,,28100,,,
2021,21672,1,2,,,asian,asian,,,34450,2570,,
2021,21738,2,1,2,,white,white,white,,40000,73500,,
2021,21836,2,1,1,,other,other,other,,55600,12000,7000,
2021,21933,2,,,,white,,,,24500,,,
2021,21995,1,2,1,1,white,white,white,white,89000,4800,8000,0
2021,22131,1,2,,,white,white,,,85000,14000,,
2021,22327,2,,,,white,,,,23000,,,
2021,22581,1,2,,,black,black,,,56200,29000,,
2021,22836,2,1,2,,white,white,white,,229000,130000,0,
2021,22851,2,1,2,1,black,black,black,black,12000,30000,,
2021,23012,2,1,2,,white,white,white,,56000,50000,0,
2021,23210,2,1,2,2,other,white,other,white,23000,70000,,
2021,23472,1,,,,black,,,,0,,,
2021,23777,1,,,,white,,,,80000,,,
2021,23866,1,1,,,other,other,,,9600,500,,
2021,24078,1,2,,,white,white,,,41000,28000,,
2021,24116,1,2,,,white,white,,,40970,40970,,
2021,24283,2,1,1,,white,white,white,,181000,41700,2700,
2021,24454,1,,,,white,,,,63020,,,
2021,24891,1,2,,,native,native,,,960,6760,,
2021,24917,1,2,2,1,other,white,other,other,103000,0,,
2021,25076,2,1,,,other,other,,,0,205800,,
2021,25104,1,2,1,,native,native,native,,198200,6900,8800,
2021,25252,1,2,1,2,other,native,other,native,18600,1350,40330,320
2021,25348,1,2,2,,white,white,white,,71990,61990,,
2021,25684,1,2,1,1,white,white,white,white,180000,0,,
2021,25852,1,2,2,,white,white,white,,80000,31000,20000,
2021,25961,2,1,2,2,white,white,white,white,62000,118000,,
2021,25996,1,2,2,1,black,white,other,other,63000,27000,,
2021,26187,2,,,,other,,,,0,,,
2021,26593,2,,,,white,,,,18300,,,
2021,26618,2,,,,black,,,,24000,,,
2021,27359,2,,,,other,,,,4300,,,
2021,27412,1,,,,black,,,,25500,,,
2021,27427,2,,,,white,,,,10000,,,
2021,28490,2,,,,white,,,,10200,,,
2021,28958,1,,,,white,,,,0,,,
2021,29149,2,,,,black,,,,0,,,
2021,29202,1,,,,other,,,,380,,,
2021,29338,1,,,,white,,,,0,,,
2021,29357,1,,,,white,,,,40600,,,
2021,29614,1,2,2,2,other,other,other,other,80000,4000,0,
2021,29689,1,,,,other,,,,99000,,,
2021,30054,2,2,2,,white,other,other,,18820,32000,35000,
2021,30175,1,2,2,,black,black,black,,74000,1e+05,,
2021,30318,1,2,,,other,other,,,45600,88010,,
2021,30414,2,1,1,2,white,white,other,other,67000,0,4500,5000
2021,30498,2,1,,,native,native,,,11300,23000,,
2021,30519,1,,,,other,,,,42000,,,
2021,30634,2,1,,,white,white,,,10800,12000,,
2021,30703,2,1,,,white,white,,,23000,75900,,
2021,30962,2,1,,,white,white,,,0,125000,,
2021,31194,2,2,1,,white,white,white,,0,142000,,
2021,31339,2,1,1,2,asian,white,other,other,17600,13400,200,16500
