year,family_ID,person_num,hispanic,educ,demographics,employment_status,income,state,state_abb
2021,206,1,0,5,white - female - 34,3,0,Alabama,AL
2021,574,1,0,0,white - female - 63,3,17000,Alabama,AL
2021,619,1,0,6,black - female - 18,1,6000,Alabama,
2021,798,1,0,6,other - female - 73,3,0,Alabama,AL
2021,803,1,0,2,black - female - 43,3,0,Alabama,AL
2021,2488,1,0,6,white - male - 18,1,5500,Alabama,AL
2021,2506,1,0,6,white - female - 69,3,1800,Alabama,AL
2021,2563,1,0,6,black - female - 22,3,1200,Alabama,AL
2021,2979,1,0,6,white - female - 30,1,12400,Alabama,AL
2021,2979,2,0,4,white - male - 34,1,24000,Alabama,AL
2021,2979,3,1,2,white - male - 12,0,,Alabama,AL
2021,2979,4,0,0,white - male - 6,0,,Alabama,AL
2021,2979,5,0,0,white - female - 4,0,,Alabama,AL
2021,3206,1,0,6,black - female - 69,3,12000,Alabama,AL
2021,3206,2,0,6,black - female - 69,3,9500,Alabama,AL
2021,3206,3,0,6,black - female - 69,3,16800,Alabama,AL
2021,3281,1,0,11,asian - male - 30,1,45800,Alabama,AL
2021,3281,2,0,10,black - female - 27,1,18200,Alabama,
2021,3438,1,0,10,white - female - 72,3,26400,Alabama,AL
2021,3438,2,0,10,white - male - 73,3,52000,Alabama,
2021,3451,1,0,6,black - female - 25,1,31000,Alabama,AL
2021,3451,2,0,6,black - male - 29,2,6000,Alabama,AL
2021,3451,3,0,1,black - female - 6,0,,Alabama,AL
2021,3601,1,2,8,white - female - 38,3,0,Alabama,AL
2021,3601,2,2,7,other - male - 38,1,80000,Alabama,AL
2021,3601,3,2,7,white - female - 21,1,9000,Alabama,AL
2021,3601,4,2,1,white - female - 7,0,,Alabama,AL
2021,3601,5,2,0,white - female - 5,0,,Alabama,AL
2021,3601,6,0,6,white - female - 22,1,30000,Alabama,AL
2021,3633,1,0,6,black - female - 52,1,35200,Alabama,AL
2021,3633,2,0,6,black - male - 24,1,34000,Alabama,AL
2021,4260,1,0,8,white - female - 63,3,14900,Alabama,AL
2021,4260,2,0,10,white - male - 64,1,4300,Alabama,
2021,4451,1,0,11,black - female - 78,3,26000,Alabama,AL
2021,4920,1,0,6,black - female - 55,1,16200,Alabama,AL
2021,4920,2,0,6,black - male - 57,1,7200,Alabama,AL
2021,5067,1,0,8,white - female - 62,1,81000,Alabama,AL
2021,5067,2,0,6,white - male - 62,3,28500,Alabama,AL
2021,5316,1,0,10,white - male - 73,1,22600,Alabama,AL
2021,5316,2,0,6,white - female - 69,3,11310,Alabama,AL
2021,5469,1,0,10,white - female - 36,1,14700,Alabama,
2021,5469,2,0,10,white - male - 37,1,97000,Alabama,AL
2021,5728,1,0,6,black - male - 72,3,13000,Alabama,AL
2021,5780,1,0,8,white - female - 86,3,12600,Alabama,AL
2021,5780,2,0,8,white - female - 55,1,50000,Alabama,AL
2021,5780,3,0,6,white - male - 50,1,60000,Alabama,AL
2021,5786,1,0,6,white - female - 66,3,5800,Alabama,AL
2021,5786,2,0,8,white - male - 56,1,54000,Alabama,AL
2021,5920,1,0,6,white - female - 52,3,18000,Alabama,AL
2021,5920,2,0,6,white - male - 53,1,92000,Alabama,AL
2021,5920,3,0,6,other - male - 19,2,14000,Alabama,AL
2021,6512,1,0,6,white - male - 57,1,100000,Alabama,AL
2021,6512,2,0,6,white - female - 55,3,0,Alabama,
2021,6512,3,0,6,white - female - 32,1,700,Alabama,AL
2021,6512,4,0,6,white - male - 25,1,4600,Alabama,AL
2021,6512,5,0,1,white - female - 8,0,,Alabama,AL
2021,6512,6,0,1,white - female - 4,0,,Alabama,AL
2021,6537,1,0,8,white - male - 77,3,39700,Alabama,AL
2021,6537,2,0,6,white - female - 75,3,9600,Alabama,AL
2021,6680,1,0,10,white - male - 44,1,107000,Alabama,AL
2021,6680,2,0,11,white - female - 40,1,52000,Alabama,AL
2021,6680,3,0,3,white - male - 16,3,0,Alabama,AL
2021,6680,4,0,2,white - female - 13,0,,Alabama,
2021,6806,1,0,6,white - female - 56,1,71000,Alabama,AL
2021,6806,2,0,6,white - female - 36,2,15500,Alabama,AL
2021,6806,3,0,3,white - male - 15,0,0,Alabama,AL
2021,6806,4,0,2,white - male - 13,0,,Alabama,AL
2021,6806,5,0,0,white - male - 5,0,,Alabama,AL
2021,6806,6,0,0,white - male - 5,0,,Alabama,AL
2021,7090,1,0,6,white - male - 77,3,16000,Alabama,AL
2021,7090,2,0,6,white - female - 76,3,3600,Alabama,AL
2021,7142,1,0,6,black - female - 48,1,22000,Alabama,
2021,7142,2,0,8,black - male - 47,1,60000,Alabama,AL
2021,7142,3,0,2,black - female - 12,0,,Alabama,AL
2021,7155,1,0,11,white - male - 34,1,93000,Alabama,AL
2021,7155,2,0,6,white - female - 32,3,0,Alabama,AL
2021,7155,3,0,0,white - male - 1,0,,Alabama,AL
2021,7155,4,0,1,white - female - 10,0,,Alabama,AL
2021,7155,5,0,1,white - female - 7,0,,Alabama,AL
2021,7241,1,0,7,black - male - 25,1,48000,Alabama,AL
2021,7241,2,0,4,black - male - 26,1,40000,Alabama,AL
2021,7241,3,0,7,black - male - 21,3,0,Alabama,AL
2021,7254,1,0,11,white - male - 44,1,150000,Alabama,AL
2021,7254,2,0,10,white - female - 36,3,0,Alabama,
2021,7254,3,0,1,white - male - 8,0,,Alabama,AL
2021,7254,4,0,1,white - female - 7,0,,Alabama,AL
2021,7254,5,0,0,white - female - 4,0,,Alabama,AL
2021,7254,6,0,0,white - female - 3,0,,Alabama,AL
2021,7290,1,0,10,white - female - 40,1,9300,Alabama,AL
2021,7290,2,0,6,white - male - 46,3,7200,Alabama,AL
2021,7290,3,0,1,white - male - 7,0,,Alabama,AL
2021,7558,1,0,7,black - male - 34,1,32000,Alabama,AL
2021,7558,2,0,0,black - male - 0,0,,Alabama,AL
2021,7558,3,0,6,black - male - 42,1,25000,Alabama,AL
2021,7730,1,0,6,white - male - 53,1,50000,Alabama,AL
2021,7730,2,0,8,white - female - 47,1,76000,Alabama,AL
2021,7730,3,0,8,white - male - 24,1,25000,Alabama,AL
2021,7730,4,0,6,white - female - 69,3,29000,Alabama,AL
2021,7741,1,0,6,white - female - 30,1,34000,Alabama,AL
2021,7741,2,0,6,white - male - 34,1,36000,Alabama,AL
2021,7819,1,0,7,white - male - 24,1,32000,Alabama,AL
2021,7819,2,0,1,white - male - 6,0,,Alabama,AL
2021,7855,1,0,7,white - male - 62,3,36000,Alabama,AL
2021,7855,2,0,11,white - female - 56,1,160000,Alabama,AL
2021,8526,1,0,6,black - male - 45,1,26000,Alabama,AL
2021,8526,2,0,6,black - female - 51,1,30000,Alabama,AL
2021,8750,1,0,6,white - female - 22,1,18000,Alabama,AL
2021,8750,2,0,6,white - male - 25,1,25000,Alabama,AL
2021,8750,3,0,0,white - male - 0,0,,Alabama,AL
2021,8835,1,0,6,white - male - 63,1,70000,Alabama,AL
2021,8835,2,0,6,white - female - 59,3,5300,Alabama,AL
2021,8964,1,0,10,white - male - 51,3,200,Alabama,AL
2021,9067,1,0,7,white - female - 58,1,19200,Alabama,AL
2021,9067,2,0,7,white - male - 38,1,11000,Alabama,AL
2021,9087,1,0,6,white - female - 29,2,18800,Alabama,AL
2021,9087,2,0,6,other - male - 30,1,35000,Alabama,AL
2021,9087,3,0,1,other - male - 8,0,,Alabama,AL
2021,9087,4,0,1,other - male - 6,0,,Alabama,AL
2021,9087,5,0,0,other - male - 0,0,,Alabama,AL
2021,9087,6,0,0,other - male - 0,0,,Alabama,AL
2021,9095,1,0,6,white - male - 73,3,11000,Alabama,AL
2021,9134,1,0,7,black - male - 41,1,87000,Alabama,
2021,9134,2,0,6,black - female - 40,1,35000,Alabama,AL
2021,9134,3,0,6,black - male - 21,1,7000,Alabama,
2021,9185,1,0,6,white - male - 78,3,43800,Alabama,AL
2021,9185,2,0,6,white - female - 75,3,6000,Alabama,AL
2021,9207,1,0,6,white - female - 52,3,16300,Alabama,AL
2021,9207,2,0,6,white - male - 53,1,77000,Alabama,AL
2021,9207,3,0,5,white - male - 22,1,20000,Alabama,
2021,9252,1,0,11,white - female - 50,1,59000,Alabama,AL
2021,9320,1,0,10,white - female - 51,1,116000,Alabama,AL
2021,9320,2,0,7,white - male - 48,1,80000,Alabama,AL
2021,9320,3,0,6,white - male - 23,1,24000,Alabama,AL
2021,9320,4,0,7,white - male - 19,1,3600,Alabama,AL
2021,9480,1,0,6,other - female - 23,1,15900,Alabama,AL
2021,9480,2,0,6,other - male - 25,1,39000,Alabama,
2021,9689,1,4,6,other - male - 33,1,20800,Alabama,AL
2021,9689,2,4,6,other - male - 34,1,51000,Alabama,
2021,9689,3,4,7,other - male - 61,1,16000,Alabama,AL
2021,9689,4,4,6,other - female - 58,1,30200,Alabama,AL
2021,10234,1,0,11,white - female - 46,1,95000,Alabama,AL
2021,10234,2,0,11,white - male - 46,1,105000,Alabama,
2021,10234,3,0,2,white - male - 14,0,,Alabama,AL
2021,10427,1,0,10,white - male - 31,1,100000,Alabama,AL
2021,10427,2,0,10,white - female - 31,3,0,Alabama,AL
2021,10427,3,0,1,white - female - 7,0,,Alabama,AL
2021,10427,4,0,1,white - female - 5,0,,Alabama,AL
2021,10427,5,0,0,white - female - 3,0,,Alabama,AL
2021,10531,1,0,7,white - male - 39,1,80500,Alabama,AL
2021,10531,2,0,6,white - female - 33,1,3500,Alabama,AL
2021,10531,3,0,1,white - female - 10,0,,Alabama,AL
2021,10531,4,0,1,white - female - 7,0,,Alabama,AL
2021,10531,5,0,1,white - male - 5,0,,Alabama,
2021,10690,1,0,8,white - male - 36,1,42620,Alabama,AL
2021,10734,1,0,11,white - male - 44,1,55000,Alabama,AL
2021,10734,2,0,11,white - female - 39,1,7500,Alabama,AL
2021,10734,3,0,2,white - female - 14,0,,Alabama,AL
2021,10734,4,0,2,white - male - 12,0,,Alabama,AL
