year,family_ID,person_num,race,hispanic,educ,sex,employment_status,age,income,state,state_abb
2021,206,1,white,0,5,2,3,34,0,Alabama,AL
2021,574,1,white,0,0,2,3,63,17000,Alabama,AL
2021,619,1,black,0,6,2,1,18,6000,Alabama,
2021,798,1,other,0,6,2,3,73,0,Alabama,AL
2021,803,1,black,0,2,2,3,43,0,Alabama,AL
2021,2488,1,white,0,6,1,1,18,5500,Alabama,AL
2021,2506,1,white,0,6,2,3,69,1800,Alabama,AL
2021,2563,1,black,0,6,2,3,22,1200,Alabama,AL
2021,2979,1,white,0,6,2,1,30,12400,Alabama,AL
2021,2979,2,white,0,4,1,1,34,24000,Alabama,AL
2021,2979,3,white,1,2,1,0,12,,Alabama,AL
2021,2979,4,white,0,0,1,0,6,,Alabama,AL
2021,2979,5,white,0,0,2,0,4,,Alabama,AL
2021,3206,1,black,0,6,2,3,69,12000,Alabama,AL
2021,3206,2,black,0,6,2,3,69,9500,Alabama,AL
2021,3206,3,black,0,6,2,3,69,16800,Alabama,AL
2021,3281,1,asian,0,11,1,1,30,45800,Alabama,AL
2021,3281,2,black,0,10,2,1,27,18200,Alabama,
2021,3438,1,white,0,10,2,3,72,26400,Alabama,AL
2021,3438,2,white,0,10,1,3,73,52000,Alabama,
2021,3451,1,black,0,6,2,1,25,31000,Alabama,AL
2021,3451,2,black,0,6,1,2,29,6000,Alabama,AL
2021,3451,3,black,0,1,2,0,6,,Alabama,AL
2021,3601,1,white,2,8,2,3,38,0,Alabama,AL
2021,3601,2,other,2,7,1,1,38,80000,Alabama,AL
2021,3601,3,white,2,7,2,1,21,9000,Alabama,AL
2021,3601,4,white,2,1,2,0,7,,Alabama,AL
2021,3601,5,white,2,0,2,0,5,,Alabama,AL
2021,3601,6,white,0,6,2,1,22,30000,Alabama,AL
2021,3633,1,black,0,6,2,1,52,35200,Alabama,AL
2021,3633,2,black,0,6,1,1,24,34000,Alabama,AL
2021,4260,1,white,0,8,2,3,63,14900,Alabama,AL
2021,4260,2,white,0,10,1,1,64,4300,Alabama,
2021,4451,1,black,0,11,2,3,78,26000,Alabama,AL
2021,4920,1,black,0,6,2,1,55,16200,Alabama,AL
2021,4920,2,black,0,6,1,1,57,7200,Alabama,AL
2021,5067,1,white,0,8,2,1,62,81000,Alabama,AL
2021,5067,2,white,0,6,1,3,62,28500,Alabama,AL
2021,5316,1,white,0,10,1,1,73,22600,Alabama,AL
2021,5316,2,white,0,6,2,3,69,11310,Alabama,AL
2021,5469,1,white,0,10,2,1,36,14700,Alabama,
2021,5469,2,white,0,10,1,1,37,97000,Alabama,AL
2021,5728,1,black,0,6,1,3,72,13000,Alabama,AL
2021,5780,1,white,0,8,2,3,86,12600,Alabama,AL
2021,5780,2,white,0,8,2,1,55,50000,Alabama,AL
2021,5780,3,white,0,6,1,1,50,60000,Alabama,AL
2021,5786,1,white,0,6,2,3,66,5800,Alabama,AL
2021,5786,2,white,0,8,1,1,56,54000,Alabama,AL
